Year,Trade Flow,Reporter,exportLat,exportLong,Partner,importLat,importLong,Commodity,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2016,Import,USA,37.09024,-95.712891,Mexico,23.634501,-102.55278,"Waste, parings and scrap, of plastics",Weight in kilograms,182653637,182653637,92733442
2016,Export,USA,37.09024,-95.712891,Canada,56.130366,-106.34677,"Waste, parings and scrap, of plastics",Weight in kilograms,168980652,168980652,75721251
2016,Import,USA,37.09024,-95.712891,Canada,56.130366,-106.34677,"Waste, parings and scrap, of plastics",Weight in kilograms,106311099,106311099,50135205
2016,Export,USA,37.09024,-95.712891,India,20.593684,78.96288,"Waste, parings and scrap, of plastics",Weight in kilograms,91913349,91913349,49643864
2016,Export,USA,37.09024,-95.712891,Viet Nam,14.058324,108.277199,"Waste, parings and scrap, of plastics",Weight in kilograms,66747307,66747307,19998550
2016,Export,USA,37.09024,-95.712891,Malaysia,4.210484,101.975766,"Waste, parings and scrap, of plastics",Weight in kilograms,38797070,38797070,8030315
2016,Export,USA,37.09024,-95.712891,Indonesia,-0.789275,113.921327,"Waste, parings and scrap, of plastics",Weight in kilograms,34521369,34521369,10524169
2016,Export,USA,37.09024,-95.712891,Mexico,23.634501,-102.55278,"Waste, parings and scrap, of plastics",Weight in kilograms,32830410,32830410,22607377
2016,Import,USA,37.09024,-95.712891,Honduras,15.199999,-86.241905,"Waste, parings and scrap, of plastics",Weight in kilograms,14369944,14369944,11358985
2016,Import,USA,37.09024,-95.712891,Germany,51.165691,10.451526,"Waste, parings and scrap, of plastics",Weight in kilograms,13717070,13717070,6826694
2016,Import,USA,37.09024,-95.712891,China,35.86166,104.195397,"Waste, parings and scrap, of plastics",Weight in kilograms,10695197,10695197,9497885
2016,Import,USA,37.09024,-95.712891,Ecuador,-1.831239,-78.183406,"Waste, parings and scrap, of plastics",Weight in kilograms,10633338,10633338,6503352
2016,Import,USA,37.09024,-95.712891,Dominican Rep.,18.735693,-70.162651,"Waste, parings and scrap, of plastics",Weight in kilograms,10030748,10030748,6553672
2016,Import,USA,37.09024,-95.712891,Italy,41.87194,12.56738,"Waste, parings and scrap, of plastics",Weight in kilograms,7936010,7936010,4808139
2016,Export,USA,37.09024,-95.712891,Turkey,38.963745,35.243322,"Waste, parings and scrap, of plastics",Weight in kilograms,6605591,6605591,1954363
2016,Export,USA,37.09024,-95.712891,Thailand,15.870032,100.992541,"Waste, parings and scrap, of plastics",Weight in kilograms,6541149,6541149,1434617
2016,Export,USA,37.09024,-95.712891,El Salvador,13.794185,-88.89653,"Waste, parings and scrap, of plastics",Weight in kilograms,5340931,5340931,4585134
2016,Import,USA,37.09024,-95.712891,Denmark,56.26392,9.501785,"Waste, parings and scrap, of plastics",Weight in kilograms,4204329,4204329,2406552
2016,Import,USA,37.09024,-95.712891,Nigeria,9.081999,8.675277,"Waste, parings and scrap, of plastics",Weight in kilograms,4171330,4171330,2641969
2016,Import,USA,37.09024,-95.712891,Venezuela,6.42375,-66.58973,"Waste, parings and scrap, of plastics",Weight in kilograms,4027366,4027366,2046309
2016,Export,USA,37.09024,-95.712891,Rep. of Korea,36.12529,127.66382,"Waste, parings and scrap, of plastics",Weight in kilograms,3769385,3769385,1778191
2016,Import,USA,37.09024,-95.712891,Japan,36.204824,138.252924,"Waste, parings and scrap, of plastics",Weight in kilograms,3719877,3719877,7924798
