Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,exportLat,exportLong,Reporter ISO,Partner Code,Partner,importLat,importLong,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,156,China,35.86166,104.195397,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,558257267,,,,558257267,,190740802,,,6
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,0,World,0,0,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,442291077,,,,442291077,,268964558,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,0,World,0,0,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,428550452,,,,428550452,,244272719,,,6
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,0,World,0,0,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,421002614,,,,421002614,,233788884,,,6
H5,2018,2018,2018,4,0,2,Export,842,USA,37.09024,-95.712891,USA,458,Malaysia,4.210484,101.975766,MYS,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,207044511,,,,207044511,,57981689,,,0
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,484,Mexico,23.634501,-102.552784,MEX,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,182653637,,,,182653637,,92733442,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,484,Mexico,23.634501,-102.552784,MEX,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,174619326,,,,174619326,,102701948,,,0
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,484,Mexico,23.634501,-102.552784,MEX,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,168115940,,,,168115940,,89543769,,,0
H4,2016,2016,2016,4,0,2,Export,842,USA,37.09024,-95.712891,USA,124,Canada,56.130366,-106.346771,CAN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,167011593,,,,167011593,,74641905,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,704,Viet Nam,14.058324,108.277199,VNM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,137193465,,,,137193465,,49437397,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,124,Canada,56.130366,-106.346771,CAN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,136233640,,,,136233640,,67928798,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,37.09024,-95.712891,USA,124,Canada,56.130366,-106.346771,CAN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,134314519,,,,134314519,,69155524,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,37.09024,-95.712891,USA,699,India,20.593684,78.96288,IND,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,133308181,,,,133308181,,50073826,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,699,India,20.593684,78.96288,IND,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,123179879,,,,123179879,,58343736,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,458,Malaysia,4.210484,101.975766,MYS,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,121245535,,,,121245535,,31502937,,,0
