Country,Latitude,Longitude,Economic_status,Waste_generation_rate_kg/person/day,,%_Plastic_in_waste_stream,%_littered_waste,Waste_generation_kg_day,Plastic_waste_generation_kg_day,Inadequately_managed_plastic_waste_kg_day,Plastic_waste_littered_kg_day,Mismanaged_plastic_waste_kg_person_day,Mismanaged_plastic_waste_2010_tonnes
Albania,41,20,LMI,1,9,45,2,1948510,174392,77897,3488,0,29705
Algeria,28,2,UMI,1,12,58,2,19867896,2374214,1378693,47484,0,520555
Angola,-11,18,LMI,0,13,71,2,1819220,235589,166597,4712,0,62528
Anguilla,18,-63,HIC,2,12,2,2,30578,3654,68,73,0,52
Antigua & Barbuda,17,-62,HIC,6,12,6,2,367637,43933,2555,879,0,1253
Argentina,-38,-64,UMI,1,15,12,2,20068079,3000178,372261,60004,0,157777
Aruba,13,-70,HIC,2,12,1,2,289611,34609,326,692,0,372
Australia,-25,134,HIC,2,5,0,2,38436177,1902591,0,38052,0,13889
Bahamas,25,-77,HIC,3,12,1,2,1108721,132492,1002,2650,0,1333
Bahrain,26,51,HIC,1,12,10,2,817931,97743,10033,1955,0,4376
Bangladesh,24,90,LI,0,8,87,2,30475873,2422832,2108603,48457,0,787327
Barbados,13,-60,HIC,5,12,4,2,1314724,157110,6400,3142,0,3483
Belgium,51,4,HIC,1,6,0,2,6314783,375730,0,7515,0,2743
Belize,17,-88,UMI,3,6,29,2,580971,34568,9972,691,0,3892
Benin,9,2,LI,1,8,83,2,1747126,138896,115073,2778,0,43015
Bermuda,32,-65,HIC,2,12,0,2,140629,16805,0,336,0,123
Bosnia and Herzegovina,44,18,UMI,1,12,40,2,702698,83972,33813,1679,0,12955
Brazil,-14,-52,UMI,1,16,9,2,76937674,12271559,1046087,245431,0,471404
British Virgin Islands,18,-65,HIC,2,12,0,2,62315,7447,3,149,0,55
Brunei,5,115,HIC,1,3,1,2,313088,9236,71,185,0,93
Bulgaria,43,25,UMI,1,12,31,2,1283450,153372,48273,3067,0,18739
Burma/Myanmar,22,96,LI,0,17,87,2,8354950,1416164,1227208,28323,0,458269
Cambodia,13,105,LI,1,11,87,2,834752,91405,79502,1828,0,29686
Cameroon,7,12,LMI,1,6,81,2,1529777,91022,74107,1820,0,27713
Canada,56,-106,HIC,2,4,0,2,27603191,1090326,0,21807,0,7959
Cape Verde,17,-23,LMI,1,13,74,2,261123,33815,24933,676,0,9347
Cayman Islands,19,-81,HIC,2,12,0,2,108914,13015,0,260,0,95
Channel Islands,33,-119,HIC,2,12,0,2,322039,38484,0,770,0,281
Chile,-36,-72,UMI,1,11,7,2,6071274,664805,46304,13296,0,21754
China,36,104,UMI,1,11,74,2,289181626,31665388,23530300,633308,0,8819717
Christmas Island,-10,106,HIC,2,12,0,2,2944,352,0,7,0,3
Cocos Islands,-12,97,HIC,2,12,0,2,1252,150,0,3,0,1
Colombia,5,-74,UMI,1,12,21,2,8998276,1075294,231024,21506,0,92173
Comoros,-12,43,LI,2,9,83,2,2093067,187329,155246,3747,0,58032
Congo Rep of,0,16,LMI,1,13,77,2,449338,58189,44769,1164,0,16766
Congo Dem rep. of,-4,22,LI,1,9,85,2,538028,48154,40703,963,0,15208
Cook Islands,-21,-160,UMI,1,12,36,2,25121,3002,1079,60,0,416
Costa Rica,10,-84,UMI,1,19,16,2,3371845,638965,102536,12779,0,42090
Cote d'Ivoire,5,-4,LMI,1,13,82,2,4922161,637420,520288,12748,0,194558
Croatia,45,15,HIC,2,12,9,2,3365842,402218,37053,8044,0,16461
Cuba,22,-78,UMI,1,11,23,2,9180112,1005222,228196,20104,0,90630
Curacao,12,-69,HIC,2,12,0,2,301946,36083,12,722,0,268
Cyprus,35,33,HIC,2,12,0,2,1739951,207924,831,4158,0,1821
Denmark,56,10,HIC,2,2,0,2,12580743,245324,0,4906,0,1791
Dhekelia,35,33,HIC,2,12,0,2,32970,3940,2,79,0,30
Djibouti,12,43,LMI,1,13,73,2,491178,63608,46191,1272,0,17324
Dominica,15,-61,UMI,1,12,19,2,86971,10393,1938,208,0,783
Dominican Republic,19,-70,UMI,1,12,25,2,9879103,1180553,300295,23611,0,118226
East Timor,-9,126,LMI,1,13,81,2,528312,68416,55316,1368,0,20690
Ecuador,-2,-78,LMI,1,13,30,2,7232054,936551,280948,18731,0,109383
Egypt,27,31,LMI,1,13,67,2,29798792,3858944,2572170,77179,0,967012
El Salvador,14,-89,LMI,1,13,33,2,7244120,938114,306531,18762,0,118732
Equatorial Guinea,2,10,UMI,1,12,30,2,421920,50419,15367,1008,0,5977
Eritrea,15,40,LI,1,9,77,2,633111,56663,43411,1133,0,16259
Estonia,59,25,HIC,1,12,9,2,1290691,154238,13296,3085,0,5979
Falkland Islands,-52,-60,HIC,2,12,0,2,5464,653,0,13,0,5
Faroe Islands,62,-7,HIC,2,12,0,2,106163,12687,0,254,0,93
Fiji,-18,178,UMI,2,9,78,2,1881905,168430,131582,3369,0,49257
Finland,62,26,HIC,2,11,0,2,6235946,682836,0,13657,0,4985
France,46,2,HIC,2,10,0,2,33191578,3302562,0,66051,0,24109
French Guiana,4,-53,UMI,1,12,25,2,201157,24038,5986,481,0,2360
French Polynesia,-18,-149,HIC,2,12,3,2,568298,67912,2165,1358,0,1286
Gabon,-1,12,UMI,0,12,34,2,388048,46372,15750,927,0,6087
Georgia,32,-83,LMI,2,4,51,2,1899981,75049,38149,1501,0,14472
Germany,51,10,HIC,2,23,0,2,18646144,4279290,0,85586,0,31239
Ghana,6,0,LMI,1,5,81,2,6104885,302192,244835,6044,0,91571
Gibraltar,36,-5,HIC,2,12,0,2,70314,8403,9,168,0,65
Greece,39,22,HIC,2,10,0,2,19589404,1949146,0,38983,0,14229
Greenland,72,-43,HIC,2,12,0,2,119843,14321,0,286,0,105
Grenada,12,-62,UMI,3,12,18,2,260488,31128,5536,623,0,2248
Guadeloupe,16,-62,UMI,1,12,25,2,559399,66848,16646,1337,0,6564
Guam,13,145,HIC,2,12,0,2,400699,47884,118,958,0,393
Guatemala,16,-90,LMI,2,14,36,2,4784884,667491,237508,13350,0,91563
Guernsey,49,-3,HIC,2,12,0,2,118207,14126,0,283,0,103
Guinea,10,-10,LI,1,5,84,2,1197898,59296,49538,1186,0,18514
Guinea-Bissau,12,-15,LI,1,9,83,2,724864,64875,54156,1298,0,20240
Guyana,5,-59,LMI,5,11,36,2,2735543,299542,109084,5991,0,42002
Haiti,19,-72,LI,1,9,47,2,9155693,819435,387416,16389,0,147389
Honduras,15,-86,LMI,1,13,40,2,4820009,624191,249539,12484,0,95638
Hong Kong,22,114,HIC,2,20,1,2,15070417,3006548,17983,60131,0,28512
Iceland,65,-19,HIC,2,18,0,2,456624,81964,0,1639,0,598
India,21,79,LMI,0,3,85,2,63747767,1880559,1605729,37611,0,599819
Indonesia,-1,114,LMI,1,11,81,2,97356208,10660505,8600093,213210,0,3216856
Iran,32,54,UMI,1,12,50,2,10919634,1304896,651717,26098,0,247403
